age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,v_decile_score,priors_count,sex_Male,label,c_jail_in,c_jail_out,c_offense_date,screening_date,in_custody,out_custody
29,0,10,0,0,7,7,1,1,0.4479258270749697,0.4483165575290863,0.9791225416036309,0.7174211248285323,0.9284401562141052,0.7405541561712846
49,0,5,0,0,4,10,1,1,0.3254316815178316,0.3615635291769404,0.9342410489157842,0.1056241426611797,0.9735814380886745,0.7987538114808431
30,0,7,0,0,6,4,0,1,0.19667262238767316,0.19673149272136134,0.8734241048915784,0.02194787379972565,0.8889271766597748,0.6916346281320429
40,0,1,0,0,1,0,1,0,0.3759951043252288,0.3762571222917617,0.9707513867876955,0.6021947873799726,0.9129336090052838,0.7193424366962747
43,0,2,0,0,1,2,0,0,0.3049892479307949,0.31879689928801946,0.9623802319717599,0.5102880658436214,0.903399954054675,0.7104600291661143
56,0,7,0,0,4,28,1,0,0.0687143434016472,0.11966588691169552,0.9346444780635401,0.20438957475994513,0.9164943716976798,0.7261036722789341
27,0,8,1,0,7,10,1,1,0.19999115883262467,0.19939986873507037,0.9500756429652042,0.3196159122085048,0.8901906730990122,0.6932255070926687
37,0,4,0,0,4,4,1,1,0.35443844727529317,0.35473361199934283,0.9682299546142209,0.5679012345679012,0.9318860555938433,0.7477131114941005
49,0,1,0,0,1,2,1,0,0.32287118926642155,0.323688203360478,0.9644982349974786,0.5171467764060357,0.9058120836204916,0.7112554686464272
27,0,6,0,0,5,2,1,1,0.4601873999738658,0.4594978307249885,0.8959152798789712,0.00823045267489712,0.9241902136457616,0.7322020416279995
60,0,1,0,0,1,1,1,0,0.35798174721032716,0.3581947675458007,0.9686333837619768,0.5733882030178327,0.910521479439467,0.7165583985151797
37,0,10,0,0,4,6,0,0,0.0012506845275330112,0.09126848788585128,0.9265758951084215,0.1522633744855967,0.923271307144498,0.7560652260373857
38,0,5,0,0,3,12,1,0,0.10410304753013369,0.10409150160866251,0.9387796268280383,0.1673525377229081,0.8765219388927177,0.6773167174864112
48,0,1,0,0,1,0,1,0,0.3099090467140886,0.3110272664478282,0.9629853756933938,0.49519890260631,0.9040891339306225,0.7092668699456449
37,0,1,0,0,1,1,1,1,0.5020582529640729,0.502425583680429,0.9855774079677256,0.803840877914952,0.9298185159660005,0.7388307039639401
22,0,7,0,0,6,1,1,0,0.2887265353138541,0.32539703379170354,0.9590519415027736,0.4430727023319616,0.9012175511141741,0.7115206151398648
33,0,2,0,0,1,0,1,0,0.2951970641285862,0.29908310762145585,0.9612708018154311,0.4732510288065844,0.9021364576154376,0.7074108444915816
